Var1,Freq
cheaper,1
easy,1
affordable,1
age,1
alternatives,1
always,2
appealing,3
attractive,2
available,3
avid,1
best,1
better,2
bio-organic,1
brand,13
branded,1
brands,1
cared,1
certifications,2
cheap,1
cheaper,5
cheapest,3
common,1
compromise,1
crisis,1
diet,1
difference,1
ecological,1
economic,1
environmentally-friendly,1
everyday,1
excess,1
expensive,2
experience,3
flavour,2
good,5
ground,1
habits,1
health,1
known,1
label,3
likes,5
local,1
logos,1
loves,3
machine,3
money,2
morning,2
natural,1
noisy,1
organic,5
packaging,6
people,1
perfer,2
persuaded,1
pods,3
popular,2
power,1
preparation,1
price,11
quality,6
recognised,4
risky,2
routine,2
safe,1
sustainable,1
taste,6
time,3
trust,5
value,1
variety,1
visually,3
zero-waste,1
